item_name,item_price,item_link,item_img,category
[MADE][워셔블] 스판U넥_긴팔 티셔츠,"10,000원",https://hotping.co.kr/product/detail.html?product_no=36733&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202209/9a2905a267dab21662db6411150bb6a4.gif,sale
[MADE] 쇼윈도 세미크롭 퍼프 코튼반팔셔츠,"12,000원",https://hotping.co.kr/product/detail.html?product_no=35960&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202206/162efeee7c94e6ecb187319cccb0c3b8.gif,sale
[MADE] 만능베이직_라운드넥 루즈핏 스판 티셔츠,"6,000원",https://hotping.co.kr/product/detail.html?product_no=39324&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202302/0115f5ea881c83c78bd3c9a53ab20c56.gif,sale
[MADE] 퍼브 투버튼 쿨맥스 컷팅 스키니청바지,"34,800원",https://hotping.co.kr/product/detail.html?product_no=36543&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202305/29587eace9836ae3cfabbb276401b4c5.gif,bottoms
리머 허리밴딩 코튼롱스커트,"15,800원",https://hotping.co.kr/product/detail.html?product_no=39843&cate_no=535&display_group=1,https://hotping.co.kr/web/product/medium/202303/9903d80e421f6ab08de4711948b3548b.gif,skirts
[MADE] 스코드 노카라 반팔 트위드자켓,"32,370원",https://hotping.co.kr/product/detail.html?product_no=35299&cate_no=25&display_group=1,https://hotping.co.kr/web/product/medium/202306/df8cc851fa88810edc63c2d24b01eca2.gif,new
[시원한니트🌿][MADE] 레나르 루즈핏 슬라브 백버튼 트임 썸머니트티,"18,420원",https://hotping.co.kr/product/detail.html?product_no=40760&cate_no=25&display_group=1,https://hotping.co.kr/web/product/medium/202306/d9e0b6b93727786e6d3f9269ad132b63.gif,new
[MADE] 피플즈_H라인 트임 밴딩 롱스커트,"8,900원",https://hotping.co.kr/product/detail.html?product_no=40131&cate_no=535&display_group=1,https://hotping.co.kr/web/product/medium/202305/5d32c09822909dfbeaf91423769f2c65.gif,skirts
[MADE] 피플즈_반팔반바지 투피스set,"19,800원",https://hotping.co.kr/product/detail.html?product_no=32338&cate_no=29&display_group=1,https://hotping.co.kr/web/product/medium/202206/17eec198d49c062a7bb16fea1fffe773.gif,tops
[후기인증✍️][11만장돌파💖][MADE][롱&기본] 마법슬림컷 스판 부츠컷팬츠,"26,800원",https://hotping.co.kr/product/detail.html?product_no=16744&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202211/7a727b9e667ee51af2f6e73e5a91b036.gif,bottoms
[살안타템!][MADE][LOVB] L-1383 싱글 포버튼 카라넥 썸머 린넨숏자켓,"49,800원",https://hotping.co.kr/product/detail.html?product_no=40341&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202305/7dfc001db9d14dac62c1b1ac5739c7ea.gif,outwear
[MADE] 꿈꾸던소녀 뷔스티에롱원피스,"21,800원",https://hotping.co.kr/product/detail.html?product_no=16548&cate_no=26&display_group=1,https://hotping.co.kr/web/product/medium/202303/7d0046d61eaf456be972aeb789a61656.gif,dresses
[MADE] 어거스트 오버핏 셔츠+스모크밴딩 나시원피스set,"46,800원",https://hotping.co.kr/product/detail.html?product_no=39525&cate_no=26&display_group=1,https://hotping.co.kr/web/product/medium/202304/19820dc1c632235367ff5ae4e53a7960.gif,dresses
도리하찌 루즈핏 니트가디건,"23,800원",https://hotping.co.kr/product/detail.html?product_no=39311&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202301/765cff549e8f4c1650f4badc0935a334.gif,outwear
[MADE] 팩토리 린넨 뒷트임 멜빵롱원피스,"30,800원",https://hotping.co.kr/product/detail.html?product_no=36191&cate_no=26&display_group=1,https://www.hotping.co.kr/web/product/medium/202303/3a5038a0de8dc453781502372b17d6e7.gif,dresses
[MADE] 키엘링 브이넥 윙소매 플레어 롱원피스,"39,800원",https://hotping.co.kr/product/detail.html?product_no=40247&cate_no=26&display_group=1,https://hotping.co.kr/web/product/medium/202304/896d4dd795ae617ab276638c293f3059.gif,dresses
[MADE] 모드2 오버핏싱글자켓,"41,800원",https://hotping.co.kr/product/detail.html?product_no=28896&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202104/535111cf5d8617c010ac6e9ea44719be.gif,outwear
[MADE] 온타임 오버핏 청자켓,"35,800원",https://hotping.co.kr/product/detail.html?product_no=38772&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202212/124e39a3d835b05ccc0998700d3cb9d7.gif,outwear
[MADE] 365일-v넥 레이온스판 반팔티셔츠,"9,900원",https://hotping.co.kr/product/detail.html?product_no=15930&cate_no=29&display_group=1,https://hotping.co.kr/web/product/medium/202207/9cdf473437b6c14d76d5eabc2095772d.gif,tops
[MADE] 보울 실켓 라운드양슬릿 루즈핏티셔츠,"9,000원",https://hotping.co.kr/product/detail.html?product_no=35293&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202205/b359290826a97f7551bce90fec19cae9.gif,sale
[컬러추가💗][MADE] 고벨 벨트 뒷밴딩 플리츠롱스커트,"19,800원",https://hotping.co.kr/product/detail.html?product_no=33858&cate_no=535&display_group=1,https://hotping.co.kr/web/product/medium/202304/1b56a6b24aaa40eb8d3289dcde2cbbd0.gif,skirts
[MADE] 에토프 뒷밴딩 핀턱 와이드 롱 슬랙스,"29,800원",https://hotping.co.kr/product/detail.html?product_no=39633&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202305/6bf40bba51dba5314b33062e75226906.gif,bottoms
[컬러추가💗][MADE][롱&숏&기본] 레시피 핀턱 밴딩 와이드팬츠,"17,800원",https://hotping.co.kr/product/detail.html?product_no=38062&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202305/64e5b5b48d4dccaa738e1d8f7120c3c5.gif,bottoms
[여름트위드][MADE] 바헨 브이넥 반팔 트위드원피스,"32,370원",https://hotping.co.kr/product/detail.html?product_no=39573&cate_no=25&display_group=1,https://hotping.co.kr/web/product/medium/202306/e5208a898882dd3089634111b562306b.gif,new
[청량감듬뿍♥/문의폭주!][MADE] 레니 스트라이프 스트랩 플레어 셔츠롱원피스,"31,800원",https://hotping.co.kr/product/detail.html?product_no=40469&cate_no=26&display_group=1,https://hotping.co.kr/web/product/medium/202306/419699d9fdec0c3290911cff97c038a5.gif,dresses
[MADE] 렛토 썸머 루즈핏 후드가디건,"25,800원",https://hotping.co.kr/product/detail.html?product_no=32256&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202106/99968152d290c78e953f1d01a557ab28.gif,outwear
[MADE] 허니데일리_스퀘어넥 모달 반팔티셔츠,"14,800원",https://hotping.co.kr/product/detail.html?product_no=36023&cate_no=29&display_group=1,https://hotping.co.kr/web/product/medium/202206/11abd15dad0eb96f22cc4baf3259652b.gif,tops
[MADE] 빅포켓 오버핏 청자켓,"36,800원",https://hotping.co.kr/product/detail.html?product_no=38750&cate_no=27&display_group=1,https://hotping.co.kr/web/product/medium/202211/2744579bc44fb1545c1fece00b340b7e.gif,outwear
[MADE] 카먼 히든밴딩 스판 스키니 데님팬츠,"17,000원",https://hotping.co.kr/product/detail.html?product_no=40524&cate_no=447&display_group=1,https://hotping.co.kr/web/product/medium/202305/b40d8ed177e484527de19b1df66dd00b.gif,sale
[MADE] 셀레드 카라롱원피스,"25,800원",https://hotping.co.kr/product/detail.html?product_no=30133&cate_no=26&display_group=1,https://hotping.co.kr/web/product/medium/202302/ae7fa6f514769b5294bca04f5b06ab07.gif,dresses
[MADE] 로디어 빅카라 핀턱롱원피스,"39,800원",https://hotping.co.kr/product/detail.html?product_no=36349&cate_no=26&display_group=1,https://www.hotping.co.kr/web/product/medium/202208/6394f30341d6530170590187267f1b9b.gif,dresses
[MADE] 코즌 뒷밴딩 핀턱롱스커트,"15,000원",https://hotping.co.kr/product/detail.html?product_no=33841&cate_no=535&display_group=1,https://hotping.co.kr/web/product/medium/202302/e7e7448d22aa756307032af7777fbf66.gif,skirts
[MADE] 쿨링와이드 밴딩8부팬츠(썸머ver),"9,900원",https://hotping.co.kr/product/detail.html?product_no=17156&cate_no=31&display_group=1,https://hotping.co.kr/web/product/medium/202305/90a1e235b8ecd318a00b7bea4699386c.gif,bottoms
